Year,Quarter,"U.S. Average (Current $)","U.S. Average (Inflation-Adjusted $)","Austin,TX (Current $)","Austin,TX (Inflation-Adjusted $)"
1995,1,296.90,463.83,223.54,349.23
1995,2,296.80,460.33,225.18,349.25
1995,3,287.51,443.89,217.22,335.37
1995,4,287.78,443.43,224.57,346.04
1996,1,283.97,431.38,207.00,314.45
1996,2,275.78,416.26,199.40,300.97
1996,3,269.49,403.93,201.55,302.11
1996,4,278.33,415.08,199.11,296.94
1997,1,283.40,418.95,203.20,300.39
1997,2,289.44,427.07,230.15,339.58
1997,3,282.27,414.17,227.35,333.58
1997,4,293.51,430.40,231.15,338.94
1998,1,304.74,444.38,232.18,338.57
1998,2,300.97,436.73,234.32,340.02
1998,3,315.25,455.78,302.89,437.91
1998,4,316.18,456.28,302.05,435.89
1999,1,331.74,475.55,312.99,448.67
1999,2,329.34,468.69,317.59,451.97
1999,3,317.22,446.88,321.23,452.53
1999,4,317.93,446.82,316.79,445.22
2000,1,340.23,470.05,337.95,466.90
2000,2,339.16,465.32,345.68,474.25
2000,3,336.66,458.43,350.20,476.86
2000,4,340.08,462.28,350.56,476.53
2001,1,347.69,466.72,352.24,472.83
2001,2,328.67,436.73,318.70,423.49
2001,3,303.02,401.98,292.42,387.91
2001,4,299.81,401.31,278.33,372.57
2002,1,320.02,423.34,309.01,408.77
2002,2,317.93,418.00,325.26,427.64
2002,3,303.30,396.34,308.06,402.57
2002,4,308.85,403.82,318.36,416.25
2003,1,319.19,409.85,322.52,414.13
2003,2,314.52,404.97,322.01,414.60
2003,3,312.39,398.96,319.16,407.61
2003,4,315.77,405.25,335.91,431.09
2004,1,320.23,404.18,333.49,420.91
2004,2,309.45,385.83,327.26,408.03
2004,3,296.54,369.34,322.12,401.21
2004,4,297.28,369.49,328.80,408.67
2005,1,301.39,368.78,329.35,403.00
2005,2,306.68,372.95,332.23,404.01
2005,3,305.91,363.96,322.66,383.89
2005,4,314.76,378.30,334.50,402.02
2006,1,323.34,382.77,337.69,399.76
2006,2,341.58,398.19,356.52,415.60
2006,3,330.12,384.83,351.87,410.19
2006,4,318.16,372.91,338.07,396.25
2007,1,317.84,366.09,334.27,385.02
2007,2,325.39,369.38,344.07,390.60
2007,3,327.56,371.60,344.28,390.58
2007,4,329.77,371.36,344.89,388.38
2008,1,333.29,369.19,339.81,376.41
2008,2,346.99,375.08,334.19,361.24
2008,3,358.93,388.03,343.88,371.77
2008,4,345.42,388.63,337.14,379.32
2009,1,313.82,348.95,304.76,338.88
2009,2,301.82,330.97,297.47,326.20
2009,3,306.95,336.17,307.84,337.14
2009,4,319.85,350.33,322.29,353.00
2010,1,328.12,356.60,326.92,355.30
2010,2,340.72,369.73,343.97,373.25
2010,3,339.71,367.84,343.02,371.42
2010,4,334.78,361.27,341.10,368.09
2011,1,355.72,376.51,359.20,380.19
2011,2,369.68,387.37,371.82,389.61
2011,3,360.74,376.06,362.77,378.17
2011,4,368.39,386.10,376.15,394.24
2012,1,372.83,384.42,374.23,385.87
2012,2,384.67,396.48,390.97,402.98
2012,3,366.97,375.08,376.76,385.09
2012,4,374.23,385.52,389.19,400.93
2013,1,377.93,384.02,386.36,392.58
2013,2,378.00,382.89,384.99,389.97
2013,3,390.04,394.00,387.74,391.67
2013,4,382.04,387.74,387.29,393.06
2014,1,382.15,382.53,386.35,386.73
2014,2,395.62,392.61,393.92,390.91
2014,3,396.37,393.86,395.61,393.11
2014,4,392.66,395.53,397.01,399.90
2015,1,388.32,388.98,392.61,393.29
2015,2,385.91,382.49,378.05,374.70
2015,3,371.72,369.50,357.22,355.09
2015,4,362.56,362.56,365.65,365.65

"NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release."
"SOURCE: Bureau of Transportation Statistics"
